e0d16f274fbf84050162cd7e765d30bd,"Multistate"
s1143782,"Analyze how complex characters (e.g., those with multiple or conflicting motivations) develop over the course of a text, interact with other characters, and advance the plot or develop the theme."
s1143783,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain."
s1143784,"Determine two or more themes or central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to produce a complex account; provide an objective summary of the text."
s1143785,"Analyze the impact of the author's choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed)."
s11436af,"Craft and Structure"
s11436c4,"Ask and answer questions about unknown words in a text."
s11436c5,"Recognize common types of texts (e.g., storybooks, poems)."
s11436c6,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story."
s11436c7,"Identify words and phrases in stories or poems that suggest feelings or appeal to the senses."
s11436c8,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types."
s11436c9,"Identify who is telling the story at various points in a text."
s11436ca,"Describe how words and phrases (e.g., regular beats, alliteration, rhymes, repeated lines) supply rhythm and meaning in a story, poem, or song."
s11436cb,"Describe the overall structure of a story, including describing how the beginning introduces the story and the ending concludes the action."
s11436cc,"Acknowledge differences in the points of view of characters, including by speaking in a different voice for each character when reading dialogue aloud."
s11436cd,"Determine the meaning of words and phrases as they are used in a text, distinguishing literal from nonliteral language."
s11436ce,"Refer to parts of stories, dramas, and poems when writing or speaking about a text, using terms such as chapter, scene, and stanza; describe how each successive part builds on earlier sections."
s11436cf,"Distinguish their own point of view from that of the narrator or those of the characters."
s11436d0,"Determine the meaning of words and phrases as they are used in a text, including those that allude to significant characters found in mythology (e.g., Herculean)."
s11436d1,"Explain major differences between poems, drama, and prose, and refer to the structural elements of poems (e.g., verse, rhythm, meter) and drama (e.g., casts of characters, settings, descriptions, dialogue, stage directions) when writing or speaking about a text."
s11436d2,"Compare and contrast the point of view from which different stories are narrated, including the difference between first- and third-person narrations."
s11436d3,"Determine the meaning of words and phrases as they are used in a text, including figurative language such as metaphors and similes."
s11436d4,"Explain how a series of chapters, scenes, or stanzas fits together to provide the overall structure of a particular story, drama, or poem."
s11436d5,"Describe how a narrator's or speaker's point of view influences how events are described."
s1143786,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of a specific word choice on meaning and tone."
s1143787,"Analyze how a particular sentence, chapter, scene, or stanza fits into the overall structure of a text and contributes to the development of the theme, setting, or plot."
s1143788,"Explain how an author develops the point of view of the narrator or speaker in a text."
s1143789,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of rhymes and other repetitions of sounds (e.g., alliteration) on a specific verse or stanza of a poem or section of a story or drama."
s114378a,"Analyze how a drama's or poem's form or structure (e.g., soliloquy, sonnet) contributes to its meaning."
s114378b,"Analyze how an author develops and contrasts the points of view of different characters or narrators in a text."
s114378c,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
s114378d,"Compare and contrast the structure of two or more texts and analyze how the differing structure of each text contributes to its meaning and style."
s114378e,"Analyze how differences in the points of view of the characters and the audience or reader (e.g., created through the use of dramatic irony) create such effects as suspense or humor."
s114378f,"Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language evokes a sense of time and place; how it sets a formal or informal tone)."
s1143790,"Analyze how an author's choices concerning how to structure a text, order events within it (e.g., parallel plots), and manipulate time (e.g., pacing, flashbacks) create such effects as mystery, tension, or surprise."
s1143791,"Analyze a particular point of view or cultural experience reflected in a work of literature from outside the United States, drawing on a wide reading of world literature."
s1143792,"Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including words with multiple meanings or language that is particularly fresh, engaging, or beautiful. (Include Shakespeare as well as other authors.)"
s1143793,"Analyze how an author's choices concerning how to structure specific parts of a text (e.g., the choice of where to begin or end a story, the choice to provide a comedic or tragic resolution) contribute to its overall structure and meaning as well as its aesthetic impact."
s1143794,"Analyze a case in which grasping point of view requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement)."
s11436b0,"Integration of Knowledge and Ideas"
s11436d6,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts)."
s11436d7,"(Not applicable to literature)"
s11436d8,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories."
s11436d9,"Use illustrations and details in a story to describe its characters, setting, or events."
s11436da,"Compare and contrast the adventures and experiences of characters in stories."
s11436db,"Use information gained from the illustrations and words in a print or digital text to demonstrate understanding of its characters, setting, or plot."
s11436dc,"Compare and contrast two or more versions of the same story (e.g., Cinderella stories) by different authors or from different cultures."
s11436dd,"Explain how specific aspects of a text's illustrations contribute to what is conveyed by the words in a story (e.g., create mood, emphasize aspects of a character or setting)."
s11436de,"Compare and contrast the themes, settings, and plots of stories written by the same author about the same or similar characters (e.g., in books from a series)."
s11436df,"Make connections between the text of a story or drama and a visual or oral presentation of the text, identifying where each version reflects specific descriptions and directions in the text."
s11436e0,"Compare and contrast the treatment of similar themes and topics (e.g., opposition of good and evil) and patterns of events (e.g., the quest) in stories, myths, and traditional literature from different cultures."
s11436e1,"Analyze how visual and multimedia elements contribute to the meaning, tone, or beauty of a text (e.g., graphic novel, multimedia presentation of fiction, folktale, myth, poem)."
s11436e2,"Compare and contrast stories in the same genre (e.g., mysteries and adventure stories) on their approaches to similar themes and topics."
s1143795,"Compare and contrast the experience of reading a story, drama, or poem to listening to or viewing an audio, video, or live version of the text, including contrasting what they "see" and "hear" when reading the text to what they perceive when they listen or watch."
s1143796,"Compare and contrast texts in different forms or genres (e.g., stories and poems; historical novels and fantasy stories) in terms of their approaches to similar themes and topics."
s1143797,"Compare and contrast a written story, drama, or poem to its audio, filmed, staged, or multimedia version, analyzing the effects of techniques unique to each medium (e.g., lighting, sound, color, or camera focus and angles in a film)."
s1143798,"Compare and contrast a fictional portrayal of a time, place, or character and a historical account of the same period as a means of understanding how authors of fiction use or alter history."
s1143799,"Analyze the extent to which a filmed or live production of a story or drama stays faithful to or departs from the text or script, evaluating the choices made by the director or actors."
s114379a,"Analyze how a modern work of fiction draws on themes, patterns of events, or character types from myths, traditional stories, or religious works such as the Bible, including describing how the material is rendered new."
s114379b,"Analyze the representation of a subject or a key scene in two different artistic mediums, including what is emphasized or absent in each treatment (e.g., Auden's "Musée des Beaux Arts" and Breughel's Landscape with the Fall of Icarus)."
s114379c,"Analyze how an author draws on and transforms source material in a specific work (e.g., how Shakespeare treats a theme or topic from Ovid or the Bible or how a later author draws on a play by Shakespeare)."
s114379d,"Analyze multiple interpretations of a story, drama, or poem (e.g., recorded or live production of a play or recorded novel or poetry), evaluating how each version interprets the source text. (Include at least one play by Shakespeare and one play by an American dramatist.)"
s114379e,"Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more texts from the same period treat similar themes or topics."
s11436b1,"Range of Reading and Level of Text Complexity"
s11436e3,"Actively engage in group reading activities with purpose and understanding."
s11436e4,"With prompting and support, read prose and poetry of appropriate complexity for grade 1."
s11436e5,"By the end of the year, read and comprehend literature, including stories and poetry, in the grades 2—3 text complexity band proficiently, with scaffolding as needed at the high end of the range."
s11436e6,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2—3 text complexity band independently and proficiently."
s11436e7,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, in the grades 4—5 text complexity band proficiently, with scaffolding as needed at the high end of the range."
s11436e8,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 4—5 text complexity band independently and proficiently."
s114379f,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6—8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
s2363567,"By the end of the year, read and comprehend literary nonfiction in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
s11437a0,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, at the high end of grades 6—8 text complexity band independently and proficiently."
s11437a1,"By the end of grade 9, read and comprehend literature, including stories, dramas, and poems, in the grades 9—10 text complexity band proficiently, with scaffolding as needed at the high end of the range.<br/><br/>By the end of grade 10, read and comprehend literature, including stories, dramas, and poems, at the high end of the grades 9—10 text complexity band independently and proficiently."
s11437a2,"By the end of grade 11, read and comprehend literature, including stories, dramas, and poems, in the grades 11—CCR text complexity band proficiently, with scaffolding as needed at the high end of the range.<br/><br/>By the end of grade 12, read and comprehend literature, including stories, dramas, and poems, at the high end of the grades 11—CCR text complexity band independently and proficiently."
s11436a6,"Reading Standards for Informational Text"
s11436e9,"Key Ideas and Details"
s11436ed,"With prompting and support, ask and answer questions about key details in a text."
s11436ee,"With prompting and support, identify the main topic and retell key details of a text."
s11436ef,"With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text."
s11436f0,"Ask and answer questions about key details in a text."
s11436f1,"Identify the main topic and retell key details of a text."
s11436f2,"Describe the connection between two individuals, events, ideas, or pieces of information in a text."
s11436f3,"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text."
s11436f4,"Identify the main topic of a multiparagraph text as well as the focus of specific paragraphs within the text."
s11436f5,"Describe the connection between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text."
s11436f6,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers."
s11436f7,"Determine the main idea of a text; recount the key details and explain how they support the main idea."
s11436f8,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect."
s11436f9,"Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text."
s11436fa,"Determine the main idea of a text and explain how it is supported by key details; summarize the text."
s11436fb,"Explain events, procedures, ideas, or concepts in a historical, scientific, or technical text, including what happened and why, based on specific information in the text."
s11436fc,"Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text."
s11436fd,"Determine two or more main ideas of a text and explain how they are supported by key details; summarize the text."
s11436fe,"Explain the relationships or interactions between two or more individuals, events, ideas, or concepts in a historical, scientific, or technical text based on specific information in the text."
s11437a6,"Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text."
s11437a7,"Determine a central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments."
s11437a8,"Analyze in detail how a key individual, event, or idea is introduced, illustrated, and elaborated in a text (e.g., through examples or anecdotes)."
s11437a9,"Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text."
s11437aa,"Determine two or more central ideas in a text and analyze their development over the course of the text; provide an objective summary of the text."
s11437ab,"Analyze the interactions between individuals, events, and ideas in a text (e.g., how ideas influence individuals or events, or how individuals influence ideas or events)."
s11437ac,"Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text."
s11437ad,"Determine a central idea of a text and analyze its development over the course of the text, including its relationship to supporting ideas; provide an objective summary of the text."
s11437ae,"Analyze how a text makes connections among and distinctions between individuals, ideas, or events (e.g., through comparisons, analogies, or categories)."
s11437af,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text."
s11437b0,"Determine a central idea of a text and analyze its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text."
s11437b1,"Analyze how the author unfolds an analysis or series of ideas or events, including the order in which the points are made, how they are introduced and developed, and the connections that are drawn between them."
s11437b2,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain."
s11437b3,"Determine two or more central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to provide a complex analysis; provide an objective summary of the text."
s11437b4,"Analyze a complex set of ideas or sequence of events and explain how specific individuals, ideas, or events interact and develop over the course of the text."
s11436ea,"Craft and Structure"
s11436ff,"With prompting and support, ask and answer questions about unknown words in a text."
s1143700,"Identify the front cover, back cover, and title page of a book."
s1143701,"Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text."
s1143702,"Ask and answer questions to help determine or clarify the meaning of words and phrases in a text."
s1143703,"Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text."
s1143704,"Distinguish between information provided by pictures or other illustrations and information provided by the words in a text."
s1143705,"Determine the meaning of words and phrases in a text relevant to a grade 2 topic or subject area."
s1143706,"Know and use various text features (e.g., captions, bold print, subheadings, glossaries, indexes, electronic menus, icons) to locate key facts or information in a text efficiently."
s1143707,"Identify the main purpose of a text, including what the author wants to answer, explain, or describe."
s1143708,"Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area."
s1143709,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently."
s114370a,"Distinguish their own point of view from that of the author of a text."
s114370b,"Determine the meaning of general academic and domain-specific words or phrases in a text relevant to a grade 4 topic or subject area."
s114370c,"Describe the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in a text or part of a text."
s114370d,"Compare and contrast a firsthand and secondhand account of the same event or topic; describe the differences in focus and the information provided."
s114370e,"Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 5 topic or subject area."
s114370f,"Compare and contrast the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in two or more texts."
s1143710,"Analyze multiple accounts of the same event or topic, noting important similarities and differences in the point of view they represent."
s11437b5,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings."
s11437b6,"Analyze how a particular sentence, paragraph, chapter, or section fits into the overall structure of a text and contributes to the development of the ideas."
s11437b7,"Determine an author's point of view or purpose in a text and explain how it is conveyed in the text."
s11437b8,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of a specific word choice on meaning and tone."
s11437b9,"Analyze the structure an author uses to organize a text, including how the major sections contribute to the whole and to the development of the ideas."
s11437ba,"Determine an author's point of view or purpose in a text and analyze how the author distinguishes his or her position from that of others."
s11437bb,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
s11437bc,"Analyze in detail the structure of a specific paragraph in a text, including the role of particular sentences in developing and refining a key concept."
s11437bd,"Determine an author's point of view or purpose in a text and analyze how the author acknowledges and responds to conflicting evidence or viewpoints."
s11437be,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language of a court opinion differs from that of a newspaper)."
s11437bf,"Analyze in detail how an author's ideas or claims are developed and refined by particular sentences, paragraphs, or larger portions of a text (e.g., a section or chapter)."
s11437c0,"Determine an author's point of view or purpose in a text and analyze how an author uses rhetoric to advance that point of view or purpose."
s11437c1,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze how an author uses and refines the meaning of a key term or terms over the course of a text (e.g., how Madison defines faction in Federalist No. 10)."
s11437c2,"Analyze and evaluate the effectiveness of the structure an author uses in his or her exposition or argument, including whether the structure makes points clear, convincing, and engaging."
s11437c3,"Determine an author's point of view or purpose in a text in which the rhetoric is particularly effective, analyzing how style and content contribute to the power, persuasiveness, or beauty of the text."
s11436eb,"Integration of Knowledge and Ideas"
s1143711,"With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts)."
s1143712,"With prompting and support, identify the reasons an author gives to support points in a text."
s1143713,"With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
s1143714,"Use the illustrations and details in a text to describe its key ideas."
s1143715,"Identify the reasons an author gives to support points in a text."
s1143716,"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
s1143717,"Explain how specific images (e.g., a diagram showing how a machine works) contribute to and clarify a text."
s1143718,"Describe how reasons support specific points the author makes in a text."
s1143719,"Compare and contrast the most important points presented by two texts on the same topic."
s114371a,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur)."
s114371b,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence)."
s114371c,"Compare and contrast the most important points and key details presented in two texts on the same topic."
s114371d,"Interpret information presented visually, orally, or quantitatively (e.g., in charts, graphs, diagrams, time lines, animations, or interactive elements on Web pages) and explain how the information contributes to an understanding of the text in which it appears."
s114371e,"Explain how an author uses reasons and evidence to support particular points in a text."
s114371f,"Integrate information from two texts on the same topic in order to write or speak about the subject knowledgeably."
s1143720,"Draw on information from multiple print or digital sources, demonstrating the ability to locate an answer to a question quickly or to solve a problem efficiently."
s1143721,"Explain how an author uses reasons and evidence to support particular points in a text, identifying which reasons and evidence support which point(s)."
s1143722,"Integrate information from several texts on the same topic in order to write or speak about the subject knowledgeably."
s11437c4,"Integrate information presented in different media or formats (e.g., visually, quantitatively) as well as in words to develop a coherent understanding of a topic or issue."
s11437c5,"Trace and evaluate the argument and specific claims in a text, distinguishing claims that are supported by reasons and evidence from claims that are not."
s11437c6,"Compare and contrast one author's presentation of events with that of another (e.g., a memoir written by and a biography on the same person)."
s11437c7,"Compare and contrast a text to an audio, video, or multimedia version of the text, analyzing each medium's portrayal of the subject (e.g., how the delivery of a speech affects the impact of the words)."
s11437c8,"Trace and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient to support the claims."
s11437c9,"Analyze how two or more authors writing about the same topic shape their presentations of key information by emphasizing different evidence or advancing different interpretations of facts."
s11437ca,"Evaluate the advantages and disadvantages of using different mediums (e.g., print or digital text, video, multimedia) to present a particular topic or idea."
s11437cb,"Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced."
s11437cc,"Analyze a case in which two or more texts provide conflicting information on the same topic and identify where the texts disagree on matters of fact or interpretation."
s11437cd,"Analyze various accounts of a subject told in different mediums (e.g., a person's life story in both print and multimedia), determining which details are emphasized in each account."
s11437ce,"Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is valid and the evidence is relevant and sufficient; identify false statements and fallacious reasoning."
s11437cf,"Analyze seminal U.S. documents of historical and literary significance (e.g., Washington's Farewell Address, the Gettysburg Address, Roosevelt's Four Freedoms speech, King's ""Letter from Birmingham Jail""), including how they address related themes and concepts."
s11437d0,"Integrate and evaluate multiple sources of information presented in different media or formats (e.g., visually, quantitatively) as well as in words in order to address a question or solve a problem."
s11437d1,"Delineate and evaluate the reasoning in seminal U.S. texts, including the application of constitutional principles and use of legal reasoning (e.g., in U.S. Supreme Court majority opinions and dissents) and the premises, purposes, and arguments in works of public advocacy (e.g., The Federalist, presidential addresses)."
s11437d2,"Analyze seventeenth-, eighteenth-, and nineteenth-century foundational U.S. documents of historical and literary significance (including The Declaration of Independence, the Preamble to the Constitution, the Bill of Rights, and Lincoln's Second Inaugural Address) for their themes, purposes, and rhetorical features."
s11436ec,"Range of Reading and Level of Text Complexity"
s1143723,"Actively engage in group reading activities with purpose and understanding."
s1143724,"With prompting and support, read informational texts appropriately complex for grade 1."
s1143725,"By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 2—3 text complexity band proficiently, with scaffolding as needed at the high end of the range."
s1143726,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2—3 text complexity band independently and proficiently."
s1143727,"By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 4—5 text complexity band proficiently, with scaffolding as needed at the high end of the range."
s1143728,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 4—5 text complexity band independently and proficiently."
s11437d3,"By the end of the year, read and comprehend literary nonfiction in the grades 6—8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
s2364824,"By the end of the year, read and comprehend literary nonfiction in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
s11437d4,"By the end of the year, read and comprehend literary nonfiction at the high end of the grades 6—8 text complexity band independently and proficiently."
s11437d5,"By the end of grade 9, read and comprehend literary nonfiction in the grades 9—10 text complexity band proficiently, with scaffolding as needed at the high end of the range.<br/>By the end of grade 10, read and comprehend literary nonfiction at the high end of the grades 9—10 text complexity band independently and proficiently."
s11437d6,"By the end of grade 11, read and comprehend literary nonfiction in the grades 11—CCR text complexity band proficiently, with scaffolding as needed at the high end of the range.<br/>By the end of grade 12, read and comprehend literary nonfiction at the high end of the grades 11—CCR text complexity band independently and proficiently."
s11436a7,"Reading Standards: Foundational Skills"
s1143729,"Print Concepts"
s1143731,"Demonstrate understanding of the organization and basic features of print."
s114373a,"Follow words from left to right, top to bottom, and page by page."
s114373b,"Recognize that spoken words are represented in written language by specific sequences of letters."
s114373c,"Understand that words are separated by spaces in print."
s114373d,"Recognize and name all upper- and lowercase letters of the alphabet."
s2364825,"Demonstrate understanding of the organization and basic features of print."
s114375e,"Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation)."
s114372a,"Phonological Awareness"
s1143733,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
s114373f,"Recognize and produce rhyming words."
s1143740,"Count, pronounce, blend, and segment syllables in spoken words."
s1143741,"Blend and segment onsets and rimes of single-syllable spoken words."
s1143742,"Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonent-vowel-consonent, or CVC) words. (This does not include CVCs ending with /l/, /r/, or /x/.)"
s1143743,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words."
s2364826,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
s114375f,"Distinguish long from short vowel sounds in spoken single-syllable words."
s1143760,"Orally produce single-syllable words by blending sounds (phonemes), including consonant blends."
s1143761,"Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words."
s1143762,"Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes)."
s114372b,"Phonics and Word Recognition"
s1143735,"Know and apply grade-level phonics and word analysis skills in decoding words."
s1143748,"Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary or many of the most frequent sound for each consonant."
s1143749,"Associate the long and short sounds with common spellings (graphemes) for the five major vowels."
s114374a,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does)."
s114374b,"Distinguish between similarly spelled words by identifying the sounds of the letters that differ."
s2364827,"Know and apply grade-level phonics and word analysis skills in decoding words."
s114374c,"Know the spelling-sound correspondences for common consonant digraphs."
s114374d,"Decode regularly spelled one-syllable words."
s114374e,"Know final -e and common vowel team conventions for representing long vowel sounds."
s114374f,"Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word."
s1143750,"Decode two-syllable words following basic patterns by breaking the words into syllables."
s1143751,"Read words with inflectional endings."
s1143752,"Recognize and read grade-appropriate irregularly spelled words."
s2364828,"Know and apply grade-level phonics and word analysis skills in decoding words."
s1143753,"Distinguish long and short vowels when reading regularly spelled one-syllable words."
s1143754,"Know spelling-sound correspondences for additional common vowel teams."
s1143755,"Decode regularly spelled two-syllable words with long vowels."
s1143756,"Decode words with common prefixes and suffixes."
s1143757,"Identify words with inconsistent but common spelling-sound correspondences."
s1143758,"Recognize and read grade-appropriate irregularly spelled words."
s2364829,"Know and apply grade-level phonics and word analysis skills in decoding words."
s1143759,"Identify and know the meaning of the most common prefixes and derivational suffixes."
s114375a,"Decode words with common Latin suffixes."
s114375b,"Decode multisyllable words."
s114375c,"Read grade-appropriate irregularly spelled words."
s2364830,"Know and apply grade-level phonics and word analysis skills in decoding words."
